id_cdb,nome_cdb,id_fdb,nome_fdb,grupo,subgrupo,aliases
2001,Ginger Garlic Paste,,,,,ginger garlic paste
2002,Coriander Cumin Seed Powder,,,,,coriander cumin seed powder
2003,Chaat Masala,,,,,chaat masala
2005,Chole Masala,,,,,chole masala
2006,Rasam Powder,,,,,rasam powder
2007,Tandoori Masala,,,,,tandoori masala
2009,Panch Pharon Seed,,,,,panch pharon seed
2010,Chicken Masala Powder,,,,,chicken masala powder
2011,Goda Masala,,,,,goda masala
2012,Jal Jeera Powder,,,,,jal jeera powder
2013,Ginger Garlic Coriander Leaves,,,,,ginger garlic coriander leaf
2014,Pulao Masala,,,,,pulao masala
2015,Dabeli Masala,,,,,dabeli masala
2016,Cake Mix,,,,,cake mix
2017,Half Half,,,,,half=half
2019,Vermicelli,,,,,vermicelli
2021,Mayonnaise,,,,,mayonnaise
2022,Salt-Pepper,,,,,salt=pepper
2023,Croissant,,,,,croissant
2024,Puff Pastry,,,,,puff pastry
2025,Green Chutney,,,,,green chutney
2026,Cajun Seasoning,,,,,cajun seasoning
2027,Vegetable Broth,,,,,vegetable broth
2028,Tandoori Paste,,,,,tandoori paste
2029,Mixed Vegetables,,,,,mixed vegetables
2030,Salad Creme,,,,,salad creme
2031,Worcestershite Sauce,,,,,worcestershire sauce
2032,Coleslaw,,,,,coleslaw
2033,Vegetable Stock,,,,,vegetable stock
2034,Mascarpone,,,,,mascarpone
2036,Italian Seasoning,,,,,italian style seasoning; italian herb seasoning; italian seasoning
2039,Hoisin Sauce,,,,,hoisin sauce
2040,Barbeque Sauce,,,,,barbeque sauce
2041,Sponge Cake,,,,,sponge cake
2042,Baking Mix,,,,,baking mix
2043,Hot Sauce,,,,,hot sauce
2044,Dried Mixed Fruit,,,,,dried mixed fruit
2045,Candied Mixed Fruit,,,,,candied mixed fruit
2046,Gulkand,,,,,gulkand
2051,Creole Seasoning,,,,,creole seasoning
2052,Chinese Five Spice Powder,,,,,chinese five spice
2053,Old Bay Seasoning,,,,,old=bay seasoning
2054,Adobo Sauce,,,,,adobo sauce
2055,Cracker Crumb,,,,,cracker crumb; graham cracker
2057,Ranch Dressing,,,,,dressing-ranch
2058,Poultry Seasoning,,,,,poultry seasoning
2059,Tahini,,,,,tahini
2060,Herbe de Provence,,,,,herbe de provence
2061,Tart Shell,,,,,tart shell
2065,Bear,,,,,bear
2066,Whale,,,,,whale
2068,Seal,,,,,seal
2101,Apple Sauce,,,,,apple=sauce
