id_cdb,nome_cdb,id_fdb,nome_fdb
2000,Garam Masala
2001,Ginger Garlic Paste
2002,Coriander Cumin Seed Powder
2003,Chaat Masala
2004,Sambar Powder
2005,Chole Masala
2006,Rasam Powder
2007,Tandoori Masala
2009,Panch Pharon Seed
2010,Chicken Masala Powder
2011,Goda Masala
2012,Jal Jeera Powder
2013,Ginger Garlic Coriander Leaves
2014,Pulao Masala
2015,Dabeli Masala
2016,Cake Mix
2017,Half Half
2018,Ale
2019,Vermicelli
2020,Self Rising Flour
2021,Mayonnaise
2022,Salt-Pepper
2023,Croissant
2024,Puff Pastry
2025,Green Chutney
2026,Cajun Seasoning
2027,Vegetable Broth
2028,Tandoori Paste
2029,Mixed Vegetables
2030,Salad Creme
2031,Worcestershite Sauce
2032,Coleslaw
2033,Vegetable Stock
2034,Mascarpone
2035,Fettuccine
2036,Italian Seasoning
2038,Spinach Fettuccine
2039,Hoisin Sauce
2040,Barbeque Sauce
2041,Sponge Cake
2042,Baking Mix
2043,Hot Sauce
2044,Dried Mixed Fruit
2045,Candied Mixed Fruit
2046,Gulkand
2047,Pancetta
2048,Phyllo
2050,Prosciutto
2051,Creole Seasoning
2052,Chinese Five Spice Powder
2053,Old Bay Seasoning
2054,Adobo Sauce
2055,Cracker Crumb
2057,Ranch Dressing
2058,Poultry Seasoning
2059,Tahini
2060,Herbe de Provence
2061,Tart Shell
2063,Tomato Puree
2064,Tomato Paste
2065,Bear
2066,Whale
2068,Seal
2069,Tuna
2070,Croaker
2071,Mackerel
2074,Perch
2079,Octopus
2085,Pout
2086,Herring
2091,Trout
2092,Lobster
2093,Halibut
2097,Salmon
2101,Apple Sauce
2102,Cider Vinegar
